id,full_name,student_id,email,address,city,zipcode,phone,age,university,category
261,Jermaine Rosales,22C53660-3BF6-A7B8-F20B-07FB1877BD73,eget.ipsum@litoratorquentper.ca,282-2251 Integer St.,Kemerovo,74611,305-5835,25,"University of California, Santa Cruz",Web Development
262,Preston Nelson,DD32C27B-BDCD-AF38-FAC0-91F6A2BFD22C,ultrices@anteMaecenasmi.co.uk,697-826 Semper Rd.,Vilna,30034,1-705-270-1049,21,"University of California, Davis",Entrepreneurship
263,Coby Rios,1E2B1472-4D37-0C99-1259-2E3C9CBD9AAC,varius@vel.ca,"P.O. Box 474, 8190 Posuere, Rd.",Lima,73230,1-315-426-1156,17,San Jose State University,Network Security
264,Logan Dickerson,D838904A-6222-C4F6-0318-4CBAED0AC1D7,ligula.Donec.luctus@in.net,Ap #103-9395 Mauris Rd.,Stokkem,79225,1-135-463-8330,23,"University of California, Davis",Entrepreneurship
265,Thaddeus Roy,D1E06296-7B94-0B39-C9C7-B6CB32551897,ac@placerat.edu,373-1274 Mattis Street,Hualaihué,39815,1-787-183-2668,28,"University of California, Davis",Artificial Intelligence
266,Colby Dickerson,9A19D7A5-1FD4-6D15-31AD-0D5763E64EF4,risus.a@lobortis.org,"P.O. Box 967, 2819 Sed Av.",Ham-sur-Sambre,97213,1-731-198-5137,21,"University of California, Santa Cruz",Embedded Software
267,Derek Crane,40A92844-FFBE-3BCD-F596-FC45FD983795,fermentum.arcu@sem.co.uk,"9917 Ut, Av.",Dunfermline,42113,1-221-416-2333,29,"University of California, Riverside",Entrepreneurship
268,Holmes Robbins,612FAF02-1F1F-6235-C57B-3510E08BAD22,malesuada.vel.venenatis@vitae.org,9637 Curabitur Street,Kerkhove,89024,458-0735,28,"University of California, Santa Cruz",Machine Learning
269,Patrick Harmon,981607C0-627A-DF86-38D2-CBED01CE8121,nascetur.ridiculus.mus@lobortisquis.org,"P.O. Box 411, 6109 Nisi. St.",Vicoli,44790,1-822-588-0286,17,"California State University, Bakersfield",Embedded Software
270,Ronan Wilkins,EA9D363A-A0B5-FC63-AB7B-D5A4F6ACB32E,metus.In.nec@malesuadautsem.co.uk,"P.O. Box 412, 7861 Dolor. Street",Puerto Montt,38023,1-682-399-8186,19,"University of California, Santa Cruz",Machine Learning
271,Nigel Grimes,CC1A3F0E-3DE0-152A-1429-262C05B4B83E,sagittis@enimnec.net,"P.O. Box 346, 4227 Aliquam Rd.",Oyen,90837,743-9895,27,"University of California, Santa Cruz",Embedded Software
272,Galvin Jimenez,F468CFD1-2C5C-D714-FA44-DBA632E6FB3B,libero.Donec@Donecnon.com,"P.O. Box 771, 8483 Non, Avenue",Bhagalpur,36159,1-241-617-7838,21,Stanford,Artificial Intelligence
273,Gavin Mayer,4B6656DA-8036-7462-D10F-2FF0AA78F934,egestas.hendrerit@consequat.edu,706-2131 Fringilla St.,Halifax,11127,1-531-371-5748,22,"University of California, Davis",Network Security
274,Benjamin Meyers,9A6E38AD-4BDA-4813-4FCD-C4E38D17E75D,nunc@lectuspedeet.ca,9861 Non Rd.,Aurora,57761,927-7666,30,Stanford,Web Development
275,Rafael Wiggins,F08F6CEB-2FE4-C307-658C-B1F45BB819A9,mauris.eu.elit@Integer.co.uk,533-9599 Vivamus St.,Irricana,95096,1-974-666-2675,28,"California State University, Fullerton",Embedded Software
276,Mason Wright,C764B9EC-FF89-6404-CD7A-C6763326B766,eu.ligula.Aenean@sitametrisus.org,4085 Lobortis Road,Saravena,63074,316-2817,29,"California State University, Bakersfield",Artificial Intelligence
277,Myles Wall,57124998-D8CE-348C-1820-250A5410CB46,et@infelisNulla.co.uk,"P.O. Box 736, 2077 Dictum Av.",Morrovalle,16604,123-3813,28,San Francisco State University,Artificial Intelligence
278,Timon Hess,11DDC421-EC2D-9E1F-64BD-99F9B53A520C,placerat.Cras.dictum@eu.net,Ap #674-7945 Fringilla Street,Mannekensvere,76529,1-762-701-8125,25,"University of California, Santa Cruz",Machine Learning
279,Caesar Johnston,3FA3D9D7-2DB9-6C73-61A9-F29B75BA020C,mi.fringilla@laciniamattis.edu,Ap #141-3319 Ut Avenue,Lives-sur-Meuse,15825,1-470-720-0466,24,"University of California, Riverside",Network Security
280,August Wilkinson,8FEB3C5B-A512-CBF7-C534-E2644ACC680F,eu@libero.net,"930-3319 Sed, St.",Stony Plain,55654,1-403-656-2716,27,"California State University, Bakersfield",Network Security
281,Mohammad Church,D1D0A05E-FBEA-975D-3E29-95935867F3CD,aliquet@eratnequenon.com,"5531 Ut, Road",Medan,63858,1-311-852-1830,25,"University of California, Santa Cruz",Entrepreneurship
282,Hector Hall,10E4FAAC-8D42-AE36-1CA1-FFAC778D25E8,facilisis.eget.ipsum@Nam.co.uk,477-6964 Proin Ave,Castel Guelfo di Bologna,38344,1-968-649-9042,26,"University of California, Riverside",Artificial Intelligence
283,Honorato Payne,D2F4BCE2-36FD-10A2-C54E-233711FB4CB1,eget.metus.In@tristiquesenectuset.org,"P.O. Box 968, 6943 Diam. Av.",Dendermonde,16604,320-0425,26,"California State University, Bakersfield",Network Security
284,Zane Camacho,85EB1AE8-D521-FEC7-F2CE-BC028D77D7C0,amet.massa@tellusAenean.co.uk,Ap #342-8244 Leo. Ave,St. Paul,27385,626-4711,25,"California State University, Bakersfield",Entrepreneurship
285,Fuller Ferguson,0847BDA3-96B5-BD44-265E-8775749D59EB,est.Mauris@felisDonec.com,998-6415 Ipsum Avenue,Cuceglio,30831,194-3188,27,San Jose State University,Artificial Intelligence
286,Elton Knox,7FF59400-C33B-9C40-D055-4289173BB90C,quam@odioEtiamligula.org,348-1254 Nunc St.,Stilo,46741,140-7595,18,Stanford,Artificial Intelligence
287,Mason Mcdonald,A9B07DE6-4DE4-7062-E9CC-362AA9B7F84D,rutrum.lorem@Uttincidunt.co.uk,"P.O. Box 160, 8449 Pellentesque Rd.",Nordhorn,36955,960-5197,25,San Jose State University,Embedded Software
288,Jonas Gray,341C9CFB-E1B6-41E8-D389-AD8446E286E9,amet.luctus.vulputate@in.co.uk,"P.O. Box 911, 2741 Penatibus Rd.",Sambalpur,28451,1-676-522-6550,24,Stanford,Network Security
289,Hayden Leonard,6806CF3F-7782-A6C4-CACC-41FF8E3446D5,auctor.nunc@ornareegestas.ca,550-4093 Dictum Rd.,Wels,96576,1-190-745-4035,29,"California State University, Fullerton",Artificial Intelligence
290,Vincent Cole,4F9E0DDE-3544-E1AF-62D9-F972F4E30C7A,felis.eget@a.net,Ap #478-9336 Ac Avenue,Rajanpur,54049,524-5790,30,"University of California, Davis",Entrepreneurship
291,Hector Holder,5A22A7CA-DBEB-0C67-1C27-DED2707F07D1,dignissim.pharetra.Nam@dolor.co.uk,Ap #861-5305 Auctor Road,Uribia,69690,123-9141,19,"University of California, Riverside",Web Development
292,Caldwell Downs,D90000D1-2104-31EC-CD33-5B1B407A7B8A,purus.Nullam@Integervulputate.edu,6587 Turpis St.,Lincoln,19613,594-1300,18,Stanford,Embedded Software
293,Coby Key,585AF4A8-8604-6E04-D4F6-E785073F5066,sit.amet@commodohendreritDonec.ca,"P.O. Box 808, 6542 Lobortis Avenue",Orsogna,54692,724-6153,18,San Francisco State University,Machine Learning
294,Connor Church,0EB0EBF6-8C3E-D781-C499-8CF6BE5C4598,nunc@tempuslorem.edu,991-7439 Quis Ave,Garzón,33306,1-996-486-8703,22,San Jose State University,Artificial Intelligence
295,Randall Soto,F7A69943-6BC8-2F00-3A8D-0DC45FDDF7A0,vitae.dolor.Donec@nonleo.co.uk,"Ap #488-2099 At, Avenue",Jodoigne,25650,125-8641,21,Stanford,Embedded Software
296,Len Mueller,6CDBDF57-8912-1D64-4544-7E86CA68BB42,neque.pellentesque.massa@venenatisa.org,Ap #480-2726 Magna. Road,Firozabad,51027,309-6928,17,"California State University, Bakersfield",Network Security
297,Blake Terry,D27F6440-7ECC-71D8-5374-C621867409ED,enim.Nunc.ut@lacuspedesagittis.org,"Ap #161-5933 Iaculis, Street",Carahue,46318,637-8440,21,"California State University, Bakersfield",Network Security
298,Thor Ratliff,8A2C2C98-059D-883E-4A8A-3AE1DA1269D5,tellus.sem.mollis@luctusvulputate.org,"P.O. Box 313, 1163 Etiam Road",Klabbeek,77523,1-770-266-7320,24,"California State University, Bakersfield",Network Security
299,Zephania Garrison,1D43E1AE-28C9-1613-8D13-64E8DB4A6699,amet.consectetuer.adipiscing@aliquet.org,313-1903 Vulputate St.,Uitkerke,81321,1-444-846-3153,18,Stanford,Network Security
300,Brett Montgomery,0C201787-F7D9-DE4A-927F-6DF0FCF7AFE6,eros@mattisInteger.co.uk,2141 Purus Ave,Grand Island,57425,606-0448,24,"California State University, Fullerton",Web Development
